Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,,,,,,,
"Table 4b.  Reported Voting and Registration, by Sex, Race and Hispanic Origin, for States: November 2012",,,,,,,,,,,,,,,,,,,,
(in thousands),,,,,,,,,,,,,,,,,,,,
State,Race and Hispanic origin,Total Population,Total Citizen Population,Total registered,"Percent registered
(Total)",Margin of Error1,"Percent registered
(Citizen)",Margin of Error,Total voted,"Percent voted
(Total)",Margin of Error,"Percent voted
(Citizen)",Margin of Error,,,,,,,
All,Total,"235,248","215,081","153,157",65.1,0.3,71.2,0.3,"132,948",56.5,0.3,61.8,0.3,,,,,,,
,Male,"113,243","103,022","71,414",63.1,0.4,69.3,0.4,"61,551",54.4,0.4,59.7,0.4,,,,,,,
,Female,"122,005","112,059","81,743",67.0,0.4,72.9,0.4,"71,397",58.5,0.4,63.7,0.4,,,,,,,
,White alone,"187,084","173,466","124,697",66.7,0.3,71.9,0.3,"107,846",57.6,0.3,62.2,0.3,,,,,,,
,.White non-Hispanic alone,"155,615","152,862","112,706",72.4,0.3,73.7,0.3,"98,041",63.0,0.3,64.1,0.3,,,,,,,
,Black alone,"28,709","26,915","19,680",68.5,0.9,73.1,0.9,"17,813",62.0,1.0,66.2,1.0,,,,,,,
,Asian alone,"12,493","8,254","4,649",37.2,1.5,56.3,1.9,"3,904",31.3,1.5,47.3,2.0,,,,,,,
,Hispanic (of any race),"35,204","23,329","13,697",38.9,1.2,58.7,1.4,"11,188",31.8,1.1,48.0,1.5,,,,,,,
,White alone or in combination,"190,396","176,612","126,822",66.6,0.3,71.8,0.3,"109,603",57.6,0.3,62.1,0.3,,,,,,,
,Black alone or in combination,"30,043","28,153","20,557",68.4,0.9,73.0,0.9,"18,558",61.8,1.0,65.9,1.0,,,,,,,
,Asian alone or in combination,"13,335","9,033","5,173",38.8,1.5,57.3,1.9,"4,331",32.5,1.4,47.9,1.9,,,,,,,
ALABAMA,Total,"3,594","3,479","2,556",71.1,2.2,73.5,2.2,"2,154",59.9,2.4,61.9,2.4,,,,,,,
,Male,"1,703","1,649","1,201",70.5,3.3,72.9,3.2,"1,009",59.2,3.5,61.2,3.5,,,,,,,
,Female,"1,891","1,831","1,354",71.6,3.1,74.0,3.0,"1,145",60.6,3.3,62.6,3.3,,,,,,,
,White alone,"2,580","2,502","1,878",72.8,2.6,75.1,2.6,"1,530",59.3,2.9,61.2,2.9,,,,,,,
,.White non-Hispanic alone,"2,473","2,467","1,866",75.5,2.6,75.6,2.5,"1,530",61.9,2.9,62.0,2.9,,,,,,,
,Black alone,891,888,610,68.5,5.6,68.7,5.6,560,62.8,5.8,63.1,5.8,,,,,,,
,Asian alone,59,25,17,(B),(B),(B),(B),17,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),107,35,12,11.5,14.3,35.1,37.3,-,(B),(B),(B),(B),,,,,,,
,White alone or in combination,"2,605","2,527","1,904",73.1,2.6,75.3,2.5,"1,556",59.7,2.8,61.6,2.9,,,,,,,
,Black alone or in combination,900,897,619,68.8,5.5,69.0,5.5,569,63.2,5.7,63.4,5.7,,,,,,,
,Asian alone or in combination,59,25,17,(B),(B),(B),(B),17,(B),(B),(B),(B),,,,,,,
ALASKA,Total,516,495,361,69.9,2.4,72.8,2.4,289,56.0,2.6,58.4,2.6,,,,,,,
,Male,261,254,181,69.3,3.4,71.3,3.4,140,53.6,3.7,55.1,3.7,,,,,,,
,Female,255,241,180,70.5,3.4,74.4,3.3,149,58.6,3.7,61.8,3.7,,,,,,,
,White alone,373,365,283,75.7,2.6,77.4,2.6,232,62.1,3.0,63.4,3.0,,,,,,,
,.White non-Hispanic alone,355,352,273,76.8,2.6,77.5,2.6,225,63.3,3.0,63.9,3.0,,,,,,,
,Black alone,21,20,10,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
,Asian alone,30,21,13,(B),(B),(B),(B),10,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),23,18,10,(B),(B),(B),(B),7,(B),(B),(B),(B),,,,,,,
,White alone or in combination,400,392,301,75.3,2.5,76.9,2.5,247,61.7,2.9,62.9,2.9,,,,,,,
,Black alone or in combination,23,22,12,(B),(B),(B),(B),7,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,35,25,14,(B),(B),(B),(B),11,(B),(B),(B),(B),,,,,,,
ARIZONA,Total,"4,863","4,314","2,812",57.8,2.1,65.2,2.2,"2,412",49.6,2.2,55.9,2.3,,,,,,,
,Male,"2,361","2,110","1,398",59.2,3.0,66.2,3.1,"1,193",50.5,3.1,56.6,3.2,,,,,,,
,Female,"2,501","2,204","1,414",56.5,3.0,64.2,3.1,"1,219",48.7,3.0,55.3,3.2,,,,,,,
,White alone,"4,130","3,660","2,445",59.2,2.3,66.8,2.3,"2,123",51.4,2.3,58.0,2.4,,,,,,,
,.White non-Hispanic alone,"2,854","2,784","1,963",68.8,2.6,70.5,2.6,"1,737",60.8,2.7,62.4,2.8,,,,,,,
,Black alone,211,207,122,57.5,12.4,58.6,12.4,95,45.1,12.4,46.0,12.6,,,,,,,
,Asian alone,227,160,51,22.5,10.5,32.0,14.0,43,19.0,9.9,27.1,13.3,,,,,,,
,Hispanic (of any race),"1,396",989,516,37.0,6.1,52.2,7.5,400,28.7,5.7,40.4,7.4,,,,,,,
,White alone or in combination,"4,174","3,703","2,464",59.0,2.3,66.5,2.3,"2,133",51.1,2.3,57.6,2.4,,,,,,,
,Black alone or in combination,241,237,141,58.7,11.5,59.7,11.6,106,44.2,11.6,44.9,11.7,,,,,,,
,Asian alone or in combination,242,175,61,25.1,10.6,34.8,13.7,53,21.9,10.1,30.3,13.2,,,,,,,
ARKANSAS,Total,"2,198","2,109","1,376",62.6,2.4,65.3,2.4,"1,124",51.1,2.5,53.3,2.6,,,,,,,
,Male,"1,044","1,006",637,61.0,3.6,63.4,3.6,531,50.9,3.6,52.8,3.7,,,,,,,
,Female,"1,154","1,103",739,64.1,3.3,67.0,3.3,593,51.4,3.5,53.7,3.5,,,,,,,
,White alone,"1,788","1,726","1,148",64.2,2.7,66.5,2.7,941,52.7,2.8,54.5,2.8,,,,,,,
,.White non-Hispanic alone,"1,681","1,676","1,138",67.7,2.7,67.9,2.7,933,55.5,2.9,55.7,2.9,,,,,,,
,Black alone,313,313,192,61.3,7.9,61.3,7.9,155,49.4,8.1,49.4,8.1,,,,,,,
,Asian alone,33,21,9,(B),(B),(B),(B),9,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),143,73,16,11.3,9.8,(B),(B),14,9.5,9.1,(B),(B),,,,,,,
,White alone or in combination,"1,809","1,747","1,166",64.5,2.7,66.8,2.7,953,52.7,2.8,54.6,2.8,,,,,,,
,Black alone or in combination,319,319,195,61.1,7.8,61.1,7.8,155,48.5,8.0,48.5,8.0,,,,,,,
,Asian alone or in combination,33,21,9,(B),(B),(B),(B),9,(B),(B),(B),(B),,,,,,,
CALIFORNIA,Total,"28,357","23,419","15,356",54.2,0.9,65.6,0.9,"13,462",47.5,0.9,57.5,1.0,,,,,,,
,Male,"13,887","11,374","7,245",52.2,1.3,63.7,1.4,"6,326",45.6,1.3,55.6,1.4,,,,,,,
,Female,"14,470","12,044","8,111",56.1,1.2,67.3,1.3,"7,137",49.3,1.3,59.3,1.3,,,,,,,
,White alone,"21,330","17,692","11,785",55.2,1.0,66.6,1.1,"10,391",48.7,1.0,58.7,1.1,,,,,,,
,.White non-Hispanic alone,"12,317","11,866","8,544",69.4,1.3,72.0,1.2,"7,628",61.9,1.3,64.3,1.3,,,,,,,
,Black alone,"1,810","1,740","1,192",65.8,4.1,68.5,4.1,"1,063",58.7,4.2,61.1,4.3,,,,,,,
,Asian alone,"3,915","2,839","1,645",42.0,3.0,57.9,3.5,"1,380",35.2,2.9,48.6,3.6,,,,,,,
,Hispanic (of any race),"9,935","6,510","3,684",37.1,2.3,56.6,2.9,"3,157",31.8,2.2,48.5,2.9,,,,,,,
,White alone or in combination,"21,921","18,241","12,169",55.5,1.0,66.7,1.1,"10,717",48.9,1.0,58.7,1.1,,,,,,,
,Black alone or in combination,"2,003","1,924","1,314",65.6,3.9,68.3,3.9,"1,172",58.5,4.0,60.9,4.1,,,,,,,
,Asian alone or in combination,"4,122","3,029","1,790",43.4,2.9,59.1,3.4,"1,499",36.4,2.9,49.5,3.5,,,,,,,
COLORADO,Total,"3,817","3,544","2,635",69.0,2.3,74.4,2.2,"2,495",65.4,2.3,70.4,2.3,,,,,,,
,Male,"1,882","1,725","1,251",66.5,3.3,72.5,3.2,"1,179",62.7,3.4,68.4,3.4,,,,,,,
,Female,"1,935","1,818","1,384",71.5,3.1,76.1,3.0,"1,316",68.0,3.2,72.4,3.2,,,,,,,
,White alone,"3,474","3,253","2,471",71.1,2.3,76.0,2.3,"2,345",67.5,2.4,72.1,2.4,,,,,,,
,.White non-Hispanic alone,"2,852","2,800","2,205",77.3,2.4,78.7,2.3,"2,105",73.8,2.5,75.2,2.5,,,,,,,
,Black alone,140,125,75,53.6,15.4,60.1,16.0,69,49.6,15.4,55.6,16.2,,,,,,,
,Asian alone,119,98,39,32.9,16.4,40.0,18.9,31,26.0,15.3,31.6,17.9,,,,,,,
,Hispanic (of any race),681,497,284,41.7,9.0,57.2,10.5,259,38.0,8.8,52.1,10.6,,,,,,,
,White alone or in combination,"3,529","3,304","2,510",71.1,2.3,76.0,2.2,"2,385",67.6,2.4,72.2,2.3,,,,,,,
,Black alone or in combination,159,139,87,54.5,14.4,62.3,15.0,81,51.1,14.5,58.3,15.2,,,,,,,
,Asian alone or in combination,138,117,54,39.2,15.8,46.3,17.5,46,33.2,15.3,39.2,17.2,,,,,,,
CONNECTICUT,Total,"2,726","2,499","1,760",64.6,2.5,70.4,2.5,"1,568",57.5,2.5,62.7,2.6,,,,,,,
,Male,"1,297","1,188",811,62.6,3.6,68.3,3.6,712,54.9,3.7,59.9,3.8,,,,,,,
,Female,"1,429","1,311",949,66.4,3.4,72.4,3.3,856,59.9,3.5,65.3,3.5,,,,,,,
,White alone,"2,238","2,115","1,520",67.9,2.7,71.8,2.6,"1,352",60.4,2.8,63.9,2.8,,,,,,,
,.White non-Hispanic alone,"2,004","1,931","1,420",70.9,2.7,73.5,2.7,"1,271",63.4,2.9,65.8,2.9,,,,,,,
,Black alone,279,256,164,58.7,9.6,64.0,9.8,159,57.1,9.6,62.2,9.9,,,,,,,
,Asian alone,147,80,37,25.1,12.1,46.1,18.9,23,15.8,10.2,29.0,17.2,,,,,,,
,Hispanic (of any race),292,220,127,43.5,12.3,57.7,14.1,103,35.4,11.8,47.0,14.2,,,,,,,
,White alone or in combination,"2,280","2,152","1,551",68.0,2.6,72.1,2.6,"1,379",60.5,2.8,64.1,2.8,,,,,,,
,Black alone or in combination,309,281,185,59.9,9.1,66.0,9.2,177,57.1,9.2,62.9,9.4,,,,,,,
,Asian alone or in combination,156,89,44,28.1,12.2,49.2,18.0,30,19.3,10.7,33.8,17.0,,,,,,,
DELAWARE,Total,693,641,470,67.8,2.4,73.3,2.4,431,62.2,2.5,67.3,2.5,,,,,,,
,Male,329,302,218,66.1,3.5,72.1,3.5,196,59.6,3.7,65.0,3.7,,,,,,,
,Female,363,339,252,69.3,3.3,74.4,3.2,235,64.6,3.4,69.3,3.4,,,,,,,
,White alone,521,488,365,70.1,2.7,74.7,2.7,336,64.5,2.8,68.8,2.8,,,,,,,
,.White non-Hispanic alone,474,468,355,74.9,2.7,75.9,2.7,328,69.0,2.9,69.9,2.9,,,,,,,
,Black alone,142,134,91,64.0,6.6,67.5,6.6,86,60.5,6.7,63.7,6.8,,,,,,,
,Asian alone,26,15,12,(B),(B),(B),(B),8,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),56,24,11,(B),(B),(B),(B),10,(B),(B),(B),(B),,,,,,,
,White alone or in combination,524,490,366,69.9,2.7,74.7,2.7,337,64.3,2.8,68.7,2.8,,,,,,,
,Black alone or in combination,144,136,92,63.5,6.6,67.5,6.6,86,59.5,6.7,63.3,6.8,,,,,,,
,Asian alone or in combination,26,15,12,(B),(B),(B),(B),8,(B),(B),(B),(B),,,,,,,
DISTRICT OF COLUMBIA,Total,517,461,385,74.4,2.3,83.4,2.1,350,67.7,2.5,75.9,2.4,,,,,,,
,Male,240,212,173,71.8,3.5,81.4,3.2,154,64.2,3.7,72.7,3.7,,,,,,,
,Female,277,249,212,76.6,3.1,85.0,2.7,196,70.8,3.3,78.6,3.1,,,,,,,
,White alone,246,212,180,73.2,3.4,85.1,3.0,161,65.3,3.7,75.9,3.6,,,,,,,
,.White non-Hispanic alone,208,197,171,82.0,3.2,86.4,2.9,151,72.8,3.7,76.7,3.6,,,,,,,
,Black alone,244,231,191,78.0,3.9,82.6,3.6,177,72.6,4.2,76.8,4.1,,,,,,,
,Asian alone,20,13,10,(B),(B),(B),(B),9,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),48,19,14,(B),(B),(B),(B),13,(B),(B),(B),(B),,,,,,,
,White alone or in combination,248,214,182,73.1,3.4,84.8,3.0,162,65.3,3.6,75.7,3.5,,,,,,,
,Black alone or in combination,248,233,193,77.7,3.9,82.7,3.6,179,72.2,4.2,76.9,4.0,,,,,,,
,Asian alone or in combination,21,15,10,(B),(B),(B),(B),9,(B),(B),(B),(B),,,,,,,
FLORIDA,Total,"15,034","13,326","9,102",60.5,1.2,68.3,1.2,"8,107",53.9,1.2,60.8,1.3,,,,,,,
,Male,"7,179","6,346","4,234",59.0,1.7,66.7,1.8,"3,727",51.9,1.7,58.7,1.8,,,,,,,
,Female,"7,855","6,980","4,869",62.0,1.6,69.8,1.6,"4,379",55.8,1.7,62.7,1.7,,,,,,,
,White alone,"12,054","10,834","7,515",62.3,1.3,69.4,1.3,"6,712",55.7,1.3,62.0,1.4,,,,,,,
,.White non-Hispanic alone,"9,024","8,771","6,039",66.9,1.5,68.9,1.5,"5,430",60.2,1.5,61.9,1.5,,,,,,,
,Black alone,"2,244","1,919","1,262",56.3,3.8,65.8,3.9,"1,104",49.2,3.8,57.6,4.0,,,,,,,
,Asian alone,496,360,174,35.1,8.0,48.4,9.9,155,31.2,7.8,43.0,9.8,,,,,,,
,Hispanic (of any race),"3,349","2,250","1,622",48.4,4.0,72.1,4.4,"1,399",41.8,4.0,62.2,4.8,,,,,,,
,White alone or in combination,"12,172","10,941","7,591",62.4,1.3,69.4,1.3,"6,783",55.7,1.3,62.0,1.4,,,,,,,
,Black alone or in combination,"2,283","1,955","1,295",56.7,3.7,66.2,3.8,"1,137",49.8,3.8,58.2,4.0,,,,,,,
,Asian alone or in combination,544,392,194,35.7,7.7,49.5,9.5,171,31.5,7.5,43.7,9.4,,,,,,,
GEORGIA,Total,"7,179","6,738","4,767",66.4,1.7,70.7,1.7,"4,168",58.1,1.7,61.9,1.8,,,,,,,
,Male,"3,424","3,206","2,178",63.6,2.4,67.9,2.5,"1,899",55.5,2.5,59.2,2.6,,,,,,,
,Female,"3,755","3,532","2,589",68.9,2.2,73.3,2.2,"2,269",60.4,2.4,64.2,2.4,,,,,,,
,White alone,"4,659","4,388","3,121",67.0,2.1,71.1,2.0,"2,683",57.6,2.2,61.1,2.2,,,,,,,
,.White non-Hispanic alone,"4,227","4,176","3,006",71.1,2.1,72.0,2.1,"2,590",61.3,2.2,62.0,2.2,,,,,,,
,Black alone,"2,151","2,063","1,491",69.3,3.6,72.3,3.6,"1,340",62.3,3.8,65.0,3.8,,,,,,,
,Asian alone,274,198,86,31.4,10.6,43.6,13.3,83,30.2,10.4,41.9,13.2,,,,,,,
,Hispanic (of any race),489,238,140,28.7,9.6,59.0,14.9,114,23.3,9.0,47.8,15.2,,,,,,,
,White alone or in combination,"4,697","4,424","3,148",67.0,2.0,71.2,2.0,"2,706",57.6,2.1,61.2,2.2,,,,,,,
,Black alone or in combination,"2,177","2,087","1,511",69.4,3.6,72.4,3.5,"1,354",62.2,3.7,64.9,3.8,,,,,,,
,Asian alone or in combination,280,203,86,30.8,10.4,42.4,13.1,83,29.6,10.3,40.8,13.0,,,,,,,
HAWAII,Total,"1,013",930,547,54.1,2.4,58.9,2.5,480,47.4,2.4,51.6,2.6,,,,,,,
,Male,493,463,256,51.9,3.5,55.3,3.6,225,45.7,3.5,48.7,3.6,,,,,,,
,Female,520,467,292,56.1,3.4,62.4,3.5,255,49.1,3.4,54.6,3.6,,,,,,,
,White alone,238,228,170,71.3,4.6,74.4,4.5,153,64.2,4.8,66.9,4.9,,,,,,,
,.White non-Hispanic alone,212,210,160,75.4,4.6,76.0,4.6,143,67.6,5.0,68.2,5.0,,,,,,,
,Black alone,18,18,12,(B),(B),(B),(B),12,(B),(B),(B),(B),,,,,,,
,Asian alone,459,403,227,49.5,4.6,56.3,4.9,201,43.7,4.6,49.7,4.9,,,,,,,
,Hispanic (of any race),81,73,33,41.0,13.4,(B),(B),25,31.4,12.7,(B),(B),,,,,,,
,White alone or in combination,362,350,236,65.3,3.9,67.5,3.9,208,57.4,4.1,59.3,4.1,,,,,,,
,Black alone or in combination,27,27,18,(B),(B),(B),(B),18,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,568,511,287,50.5,4.1,56.1,4.3,250,44.1,4.1,49.0,4.4,,,,,,,
IDAHO,Total,"1,129","1,064",745,65.9,2.4,70.0,2.3,679,60.2,2.4,63.9,2.5,,,,,,,
,Male,553,519,354,64.1,3.4,68.3,3.4,323,58.4,3.5,62.2,3.6,,,,,,,
,Female,577,545,390,67.7,3.3,71.6,3.2,357,61.8,3.4,65.4,3.4,,,,,,,
,White alone,"1,077","1,021",726,67.4,2.4,71.1,2.4,661,61.4,2.5,64.8,2.5,,,,,,,
,.White non-Hispanic alone,960,956,691,72.0,2.4,72.3,2.4,634,66.1,2.6,66.4,2.6,,,,,,,
,Black alone,7,7,-,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Asian alone,15,6,2,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),119,68,35,29.6,11.0,(B),(B),27,22.5,10.0,(B),(B),,,,,,,
,White alone or in combination,"1,093","1,037",735,67.3,2.4,70.9,2.4,670,61.3,2.5,64.6,2.5,,,,,,,
,Black alone or in combination,9,9,1,(B),(B),(B),(B),1,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,19,9,5,(B),(B),(B),(B),5,(B),(B),(B),(B),,,,,,,
ILLINOIS,Total,"9,651","8,831","6,425",66.6,1.4,72.7,1.4,"5,428",56.2,1.5,61.5,1.6,,,,,,,
,Male,"4,638","4,244","3,010",64.9,2.1,70.9,2.1,"2,517",54.3,2.2,59.3,2.3,,,,,,,
,Female,"5,013","4,588","3,415",68.1,2.0,74.4,1.9,"2,911",58.1,2.1,63.5,2.1,,,,,,,
,White alone,"7,673","7,115","5,150",67.1,1.6,72.4,1.6,"4,275",55.7,1.7,60.1,1.7,,,,,,,
,.White non-Hispanic alone,"6,553","6,408","4,762",72.7,1.7,74.3,1.6,"3,986",60.8,1.8,62.2,1.8,,,,,,,
,Black alone,"1,322","1,278",987,74.7,4.3,77.2,4.3,918,69.5,4.6,71.8,4.6,,,,,,,
,Asian alone,557,356,228,40.9,7.9,64.0,9.6,198,35.5,7.7,55.4,10.0,,,,,,,
,Hispanic (of any race),"1,200",770,415,34.6,6.5,53.9,8.5,295,24.6,5.9,38.3,8.3,,,,,,,
,White alone or in combination,"7,751","7,176","5,189",66.9,1.6,72.3,1.6,"4,299",55.5,1.7,59.9,1.7,,,,,,,
,Black alone or in combination,"1,372","1,312","1,009",73.5,4.3,76.9,4.2,934,68.0,4.6,71.1,4.5,,,,,,,
,Asian alone or in combination,579,378,243,41.9,7.8,64.1,9.3,204,35.3,7.5,54.1,9.7,,,,,,,
INDIANA,Total,"4,852","4,724","3,270",67.4,2.0,69.2,2.0,"2,801",57.7,2.1,59.3,2.1,,,,,,,
,Male,"2,326","2,247","1,542",66.3,2.9,68.7,2.9,"1,331",57.2,3.1,59.2,3.1,,,,,,,
,Female,"2,526","2,478","1,727",68.4,2.8,69.7,2.7,"1,470",58.2,2.9,59.3,2.9,,,,,,,
,White alone,"4,349","4,255","2,926",67.3,2.1,68.8,2.1,"2,509",57.7,2.2,59.0,2.2,,,,,,,
,.White non-Hispanic alone,"4,179","4,151","2,861",68.4,2.1,68.9,2.1,"2,460",58.9,2.3,59.3,2.3,,,,,,,
,Black alone,385,385,309,80.3,7.3,80.3,7.3,263,68.4,8.5,68.4,8.5,,,,,,,
,Asian alone,75,41,19,(B),(B),(B),(B),14,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),184,118,71,38.5,16.8,59.7,21.1,49,26.5,15.3,41.1,21.2,,,,,,,
,White alone or in combination,"4,373","4,279","2,938",67.2,2.1,68.7,2.1,"2,521",57.7,2.2,58.9,2.2,,,,,,,
,Black alone or in combination,409,409,316,77.1,7.5,77.1,7.5,270,65.9,8.5,65.9,8.5,,,,,,,
,Asian alone or in combination,75,41,19,(B),(B),(B),(B),14,(B),(B),(B),(B),,,,,,,
IOWA,Total,"2,320","2,232","1,745",75.2,2.3,78.2,2.2,"1,548",66.7,2.5,69.4,2.5,,,,,,,
,Male,"1,135","1,084",838,73.9,3.3,77.3,3.2,733,64.6,3.6,67.6,3.6,,,,,,,
,Female,"1,186","1,148",906,76.4,3.1,79.0,3.0,816,68.8,3.4,71.1,3.4,,,,,,,
,White alone,"2,173","2,123","1,673",77.0,2.3,78.8,2.2,"1,482",68.2,2.5,69.8,2.5,,,,,,,
,.White non-Hispanic alone,"2,067","2,057","1,644",79.5,2.2,79.9,2.2,"1,455",70.4,2.5,70.7,2.5,,,,,,,
,Black alone,54,51,35,(B),(B),(B),(B),33,(B),(B),(B),(B),,,,,,,
,Asian alone,61,35,21,(B),(B),(B),(B),17,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),120,71,32,26.8,16.0,(B),(B),30,25.1,15.6,(B),(B),,,,,,,
,White alone or in combination,"2,197","2,138","1,685",76.7,2.3,78.8,2.2,"1,494",68.0,2.5,69.9,2.5,,,,,,,
,Black alone or in combination,67,59,41,(B),(B),(B),(B),39,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,67,35,21,(B),(B),(B),(B),17,(B),(B),(B),(B),,,,,,,
