Table with row headers in column A and column headers in row 4.,,,,,,,,,,,,,,,,,,,,
KANSAS,Total,"2,120","1,973","1,467",69.2,2.4,74.4,2.4,"1,249",58.9,2.6,63.3,2.6,,,,,,,
,Male,"1,029",953,671,65.2,3.6,70.4,3.6,567,55.1,3.8,59.5,3.8,,,,,,,
,Female,"1,091","1,020",796,73.0,3.3,78.0,3.1,682,62.5,3.5,66.8,3.6,,,,,,,
,White alone,"1,851","1,759","1,342",72.5,2.5,76.3,2.5,"1,148",62.0,2.7,65.3,2.7,,,,,,,
,.White non-Hispanic alone,"1,675","1,664","1,294",77.2,2.5,77.8,2.5,"1,115",66.6,2.8,67.0,2.8,,,,,,,
,Black alone,105,103,64,61.3,13.9,62.5,14.0,54,51.4,14.3,52.4,14.4,,,,,,,
,Asian alone,66,27,9,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),197,108,54,27.5,12.1,50.0,18.3,33,16.6,10.1,30.2,16.8,,,,,,,
,White alone or in combination,"1,908","1,809","1,374",72.0,2.5,76.0,2.4,"1,172",61.4,2.7,64.8,2.7,,,,,,,
,Black alone or in combination,126,124,74,58.5,12.9,59.4,12.9,63,50.2,13.1,51.0,13.2,,,,,,,
,Asian alone or in combination,80,33,15,18.9,13.4,(B),(B),8,10.6,10.5,(B),(B),,,,,,,
KENTUCKY,Total,"3,291","3,194","2,303",70.0,2.4,72.1,2.4,"1,895",57.6,2.6,59.3,2.6,,,,,,,
,Male,"1,581","1,531","1,041",65.8,3.5,68.0,3.5,843,53.3,3.7,55.1,3.8,,,,,,,
,Female,"1,710","1,663","1,262",73.8,3.2,75.9,3.1,"1,052",61.5,3.5,63.3,3.5,,,,,,,
,White alone,"2,966","2,899","2,091",70.5,2.5,72.1,2.5,"1,733",58.4,2.7,59.8,2.7,,,,,,,
,.White non-Hispanic alone,"2,908","2,886","2,082",71.6,2.5,72.1,2.5,"1,723",59.3,2.7,59.7,2.7,,,,,,,
,Black alone,223,220,162,72.8,10.7,73.8,10.7,125,56.1,12.0,56.9,12.0,,,,,,,
,Asian alone,61,33,14,(B),(B),(B),(B),5,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),82,34,20,24.0,22.0,(B),(B),13,15.5,18.7,(B),(B),,,,,,,
,White alone or in combination,"3,001","2,935","2,120",70.6,2.5,72.2,2.5,"1,758",58.6,2.7,59.9,2.7,,,,,,,
,Black alone or in combination,247,244,180,72.9,10.2,73.8,10.1,140,56.6,11.3,57.3,11.4,,,,,,,
,Asian alone or in combination,64,36,17,(B),(B),(B),(B),8,(B),(B),(B),(B),,,,,,,
LOUISIANA,Total,"3,321","3,239","2,498",75.2,2.2,77.1,2.2,"2,148",64.7,2.4,66.3,2.4,,,,,,,
,Male,"1,554","1,494","1,102",70.9,3.4,73.7,3.4,931,59.9,3.7,62.4,3.7,,,,,,,
,Female,"1,766","1,745","1,396",79.0,2.9,80.0,2.8,"1,217",68.9,3.2,69.7,3.2,,,,,,,
,White alone,"2,242","2,174","1,681",75.0,2.7,77.3,2.6,"1,421",63.4,3.0,65.4,3.0,,,,,,,
,.White non-Hispanic alone,"2,141","2,128","1,644",76.8,2.7,77.3,2.7,"1,389",64.9,3.0,65.2,3.0,,,,,,,
,Black alone,996,996,768,77.1,4.8,77.1,4.8,692,69.5,5.2,69.5,5.2,,,,,,,
,Asian alone,37,23,6,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),125,70,57,45.3,20.6,(B),(B),48,38.1,20.1,(B),(B),,,,,,,
,White alone or in combination,"2,262","2,194","1,697",75.0,2.7,77.3,2.6,"1,428",63.2,3.0,65.1,3.0,,,,,,,
,Black alone or in combination,"1,013","1,013",786,77.5,4.7,77.5,4.7,700,69.1,5.2,69.1,5.2,,,,,,,
,Asian alone or in combination,41,27,6,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
MAINE,Total,"1,042","1,020",787,75.5,2.4,77.1,2.4,700,67.2,2.7,68.6,2.7,,,,,,,
,Male,509,501,383,75.2,3.5,76.4,3.5,333,65.5,3.9,66.5,3.9,,,,,,,
,Female,533,519,404,75.8,3.4,77.9,3.3,367,68.8,3.7,70.7,3.7,,,,,,,
,White alone,"1,001",986,766,76.5,2.4,77.7,2.4,682,68.1,2.7,69.1,2.7,,,,,,,
,.White non-Hispanic alone,993,981,762,76.8,2.5,77.7,2.4,678,68.3,2.7,69.1,2.7,,,,,,,
,Black alone,8,7,4,(B),(B),(B),(B),4,(B),(B),(B),(B),,,,,,,
,Asian alone,14,8,3,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),10,7,4,(B),(B),(B),(B),4,(B),(B),(B),(B),,,,,,,
,White alone or in combination,"1,015","1,000",776,76.4,2.4,77.6,2.4,691,68.0,2.7,69.0,2.7,,,,,,,
,Black alone or in combination,9,8,6,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,15,9,4,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
MARYLAND,Total,"4,449","4,007","2,888",64.9,2.2,72.1,2.2,"2,609",58.7,2.2,65.1,2.3,,,,,,,
,Male,"2,101","1,914","1,336",63.6,3.2,69.8,3.2,"1,189",56.6,3.3,62.1,3.4,,,,,,,
,Female,"2,348","2,093","1,552",66.1,3.0,74.2,2.9,"1,421",60.5,3.1,67.9,3.1,,,,,,,
,White alone,"2,837","2,635","1,913",67.4,2.7,72.6,2.6,"1,711",60.3,2.8,65.0,2.8,,,,,,,
,.White non-Hispanic alone,"2,567","2,511","1,840",71.7,2.7,73.3,2.7,"1,648",64.2,2.9,65.6,2.9,,,,,,,
,Black alone,"1,276","1,167",850,66.6,4.9,72.8,4.8,788,61.8,5.0,67.5,5.0,,,,,,,
,Asian alone,260,131,78,29.9,10.9,59.4,16.5,66,25.4,10.4,50.4,16.8,,,,,,,
,Hispanic (of any race),342,176,115,33.7,12.2,65.6,17.1,103,30.2,11.9,58.7,17.7,,,,,,,
,White alone or in combination,"2,886","2,681","1,940",67.2,2.7,72.4,2.6,"1,735",60.1,2.8,64.7,2.8,,,,,,,
,Black alone or in combination,"1,318","1,206",880,66.8,4.8,73.0,4.7,819,62.1,4.9,67.9,4.9,,,,,,,
,Asian alone or in combination,277,149,90,32.4,10.8,60.5,15.4,75,26.9,10.2,50.3,15.8,,,,,,,
MASSACHUSETTS,Total,"5,170","4,774","3,759",72.7,1.8,78.7,1.8,"3,382",65.4,2.0,70.8,2.0,,,,,,,
,Male,"2,452","2,238","1,750",71.4,2.7,78.2,2.6,"1,576",64.3,2.9,70.4,2.9,,,,,,,
,Female,"2,718","2,537","2,009",73.9,2.5,79.2,2.4,"1,807",66.5,2.7,71.2,2.7,,,,,,,
,White alone,"4,358","4,128","3,331",76.4,1.9,80.7,1.8,"3,009",69.0,2.1,72.9,2.1,,,,,,,
,.White non-Hispanic alone,"3,991","3,877","3,161",79.2,1.9,81.5,1.9,"2,839",71.1,2.1,73.2,2.1,,,,,,,
,Black alone,385,321,228,59.2,9.0,70.9,9.1,211,54.7,9.1,65.6,9.6,,,,,,,
,Asian alone,317,219,119,37.6,10.2,54.3,12.7,98,30.8,9.8,44.5,12.6,,,,,,,
,Hispanic (of any race),453,322,216,47.6,11.0,66.9,12.3,202,44.6,10.9,62.7,12.6,,,,,,,
,White alone or in combination,"4,437","4,206","3,384",76.3,1.9,80.5,1.8,"3,054",68.8,2.1,72.6,2.0,,,,,,,
,Black alone or in combination,451,387,275,61.1,8.3,71.2,8.3,248,55.1,8.4,64.2,8.8,,,,,,,
,Asian alone or in combination,333,235,131,39.4,10.1,55.9,12.2,102,30.6,9.5,43.3,12.2,,,,,,,
MICHIGAN,Total,"7,496","7,228","5,620",75.0,1.5,77.8,1.5,"4,832",64.5,1.7,66.8,1.7,,,,,,,
,Male,"3,601","3,458","2,663",73.9,2.2,77.0,2.1,"2,273",63.1,2.4,65.7,2.4,,,,,,,
,Female,"3,895","3,769","2,957",75.9,2.1,78.4,2.0,"2,559",65.7,2.3,67.9,2.3,,,,,,,
,White alone,"6,103","5,971","4,758",78.0,1.6,79.7,1.6,"4,065",66.6,1.8,68.1,1.8,,,,,,,
,.White non-Hispanic alone,"5,918","5,816","4,629",78.2,1.6,79.6,1.6,"3,951",66.8,1.8,67.9,1.8,,,,,,,
,Black alone,"1,028",991,687,66.8,5.3,69.3,5.3,627,61.0,5.5,63.3,5.6,,,,,,,
,Asian alone,240,141,84,34.9,11.7,59.3,15.7,73,30.4,11.3,51.6,16.0,,,,,,,
,Hispanic (of any race),285,225,193,67.9,13.1,86.0,10.9,158,55.4,13.9,70.3,14.4,,,,,,,
,White alone or in combination,"6,176","6,044","4,810",77.9,1.6,79.6,1.6,"4,107",66.5,1.8,67.9,1.8,,,,,,,
,Black alone or in combination,"1,062","1,024",716,67.4,5.2,69.9,5.2,653,61.6,5.4,63.8,5.5,,,,,,,
,Asian alone or in combination,255,157,97,37.8,11.5,61.7,14.7,75,29.5,10.8,48.1,15.2,,,,,,,
MINNESOTA,Total,"4,055","3,903","3,085",76.1,2.0,79.0,1.9,"2,859",70.5,2.1,73.2,2.1,,,,,,,
,Male,"1,993","1,921","1,496",75.1,2.9,77.9,2.8,"1,374",68.9,3.1,71.5,3.1,,,,,,,
,Female,"2,062","1,981","1,589",77.0,2.8,80.2,2.7,"1,485",72.0,2.9,75.0,2.9,,,,,,,
,White alone,"3,639","3,576","2,846",78.2,2.0,79.6,2.0,"2,646",72.7,2.2,74.0,2.2,,,,,,,
,.White non-Hispanic alone,"3,532","3,508","2,808",79.5,2.0,80.1,2.0,"2,615",74.0,2.2,74.5,2.2,,,,,,,
,Black alone,179,142,95,52.9,13.4,66.9,14.2,88,49.2,13.4,62.1,14.7,,,,,,,
,Asian alone,174,125,110,63.1,13.8,87.6,11.1,98,56.2,14.1,78.1,13.9,,,,,,,
,Hispanic (of any race),136,96,54,39.9,19.7,56.1,23.6,44,32.5,18.8,45.7,23.7,,,,,,,
,White alone or in combination,"3,680","3,616","2,868",77.9,2.0,79.3,2.0,"2,664",72.4,2.2,73.7,2.2,,,,,,,
,Black alone or in combination,210,172,109,52.1,12.4,63.4,13.2,97,46.4,12.4,56.4,13.6,,,,,,,
,Asian alone or in combination,186,138,115,61.7,13.4,83.5,11.9,99,53.4,13.7,72.3,14.3,,,,,,,
MISSISSIPPI,Total,"2,166","2,130","1,794",82.8,2.0,84.2,1.9,"1,588",73.3,2.3,74.5,2.3,,,,,,,
,Male,"1,019",995,824,80.9,3.0,82.8,2.9,710,69.7,3.5,71.4,3.5,,,,,,,
,Female,"1,147","1,135",971,84.6,2.6,85.5,2.5,877,76.4,3.0,77.3,3.0,,,,,,,
,White alone,"1,355","1,338","1,094",80.7,2.6,81.8,2.6,951,70.2,3.0,71.1,3.0,,,,,,,
,.White non-Hispanic alone,"1,321","1,321","1,089",82.4,2.5,82.4,2.5,949,71.8,3.0,71.8,3.0,,,,,,,
,Black alone,748,744,674,90.2,3.2,90.6,3.1,613,82.0,4.1,82.4,4.1,,,,,,,
,Asian alone,26,10,5,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),35,17,5,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
,White alone or in combination,"1,372","1,354","1,104",80.5,2.6,81.5,2.5,962,70.1,3.0,71.0,3.0,,,,,,,
,Black alone or in combination,758,755,685,90.4,3.1,90.8,3.1,624,82.3,4.1,82.7,4.0,,,,,,,
,Asian alone or in combination,26,10,5,(B),(B),(B),(B),2,(B),(B),(B),(B),,,,,,,
MISSOURI,Total,"4,521","4,409","3,384",74.8,1.9,76.7,1.9,"2,818",62.3,2.2,63.9,2.2,,,,,,,
,Male,"2,169","2,114","1,608",74.1,2.8,76.1,2.8,"1,321",60.9,3.2,62.5,3.2,,,,,,,
,Female,"2,352","2,295","1,776",75.5,2.7,77.4,2.6,"1,497",63.7,3.0,65.2,3.0,,,,,,,
,White alone,"3,887","3,830","2,923",75.2,2.1,76.3,2.1,"2,452",63.1,2.3,64.0,2.3,,,,,,,
,.White non-Hispanic alone,"3,765","3,732","2,857",75.9,2.1,76.6,2.1,"2,395",63.6,2.4,64.2,2.4,,,,,,,
,Black alone,484,465,374,77.2,7.0,80.3,6.7,313,64.7,7.9,67.3,8.0,,,,,,,
,Asian alone,67,30,23,(B),(B),(B),(B),20,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),140,104,71,50.9,20.1,68.6,21.6,63,45.0,20.0,60.7,22.7,,,,,,,
,White alone or in combination,"3,965","3,908","2,987",75.3,2.1,76.4,2.1,"2,485",62.7,2.3,63.6,2.3,,,,,,,
,Black alone or in combination,501,482,388,77.4,6.8,80.4,6.6,318,63.6,7.9,66.0,7.9,,,,,,,
,Asian alone or in combination,72,35,26,(B),(B),(B),(B),23,(B),(B),(B),(B),,,,,,,
MONTANA,Total,768,754,553,72.0,2.3,73.3,2.3,495,64.5,2.4,65.7,2.4,,,,,,,
,Male,379,375,263,69.3,3.3,70.1,3.3,238,62.7,3.5,63.4,3.5,,,,,,,
,Female,389,380,290,74.5,3.1,76.3,3.1,258,66.2,3.4,67.9,3.4,,,,,,,
,White alone,698,689,506,72.5,2.4,73.5,2.4,461,66.1,2.5,67.0,2.5,,,,,,,
,.White non-Hispanic alone,688,680,500,72.7,2.4,73.6,2.4,457,66.4,2.5,67.2,2.5,,,,,,,
,Black alone,2,-,-,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Asian alone,2,-,-,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),15,13,8,(B),(B),(B),(B),7,(B),(B),(B),(B),,,,,,,
,White alone or in combination,712,702,514,72.2,2.4,73.2,2.4,466,65.4,2.5,66.3,2.5,,,,,,,
,Black alone or in combination,2,-,-,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,2,-,-,(B),(B),(B),(B),-,(B),(B),(B),(B),,,,,,,
NEBRASKA,Total,"1,371","1,296",901,65.7,2.5,69.5,2.5,798,58.2,2.6,61.6,2.6,,,,,,,
,Male,677,639,441,65.1,3.6,69.0,3.6,386,57.1,3.7,60.4,3.8,,,,,,,
,Female,694,657,460,66.3,3.5,70.0,3.5,412,59.4,3.6,62.7,3.7,,,,,,,
,White alone,"1,265","1,210",846,66.8,2.6,69.9,2.6,750,59.3,2.7,62.0,2.7,,,,,,,
,.White non-Hispanic alone,"1,161","1,150",824,70.9,2.6,71.6,2.6,731,63.0,2.8,63.6,2.8,,,,,,,
,Black alone,51,45,32,(B),(B),(B),(B),29,(B),(B),(B),(B),,,,,,,
,Asian alone,31,18,7,(B),(B),(B),(B),5,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),110,64,27,25.0,12.6,(B),(B),21,19.4,11.5,(B),(B),,,,,,,
,White alone or in combination,"1,283","1,227",857,66.8,2.6,69.9,2.5,762,59.4,2.7,62.0,2.7,,,,,,,
,Black alone or in combination,55,50,37,(B),(B),(B),(B),33,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,32,18,8,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
NEVADA,Total,"2,039","1,808","1,176",57.7,2.5,65.0,2.6,"1,048",51.4,2.5,57.9,2.6,,,,,,,
,Male,"1,015",910,574,56.5,3.5,63.1,3.6,511,50.3,3.6,56.2,3.7,,,,,,,
,Female,"1,024",898,602,58.8,3.5,67.0,3.6,536,52.4,3.6,59.7,3.7,,,,,,,
,White alone,"1,627","1,439",947,58.2,2.8,65.8,2.8,845,51.9,2.8,58.7,3.0,,,,,,,
,.White non-Hispanic alone,"1,194","1,167",785,65.7,3.1,67.2,3.1,704,58.9,3.2,60.3,3.3,,,,,,,
,Black alone,169,164,107,63.3,10.2,65.1,10.3,101,60.2,10.4,61.8,10.5,,,,,,,
,Asian alone,152,115,82,54.4,11.6,71.9,12.1,67,44.5,11.6,58.8,13.2,,,,,,,
,Hispanic (of any race),464,302,181,38.9,8.1,59.9,10.1,157,33.7,7.9,52.0,10.3,,,,,,,
,White alone or in combination,"1,674","1,484",966,57.7,2.7,65.1,2.8,860,51.4,2.8,57.9,2.9,,,,,,,
,Black alone or in combination,185,181,112,60.6,9.9,62.1,9.9,107,57.7,10.0,59.2,10.1,,,,,,,
,Asian alone or in combination,164,127,90,54.8,11.2,70.8,11.6,73,44.7,11.2,57.7,12.6,,,,,,,
NEW HAMPSHIRE,Total,"1,028",991,752,73.1,2.4,75.9,2.3,688,66.9,2.5,69.4,2.5,,,,,,,
,Male,503,482,353,70.3,3.5,73.4,3.4,322,64.0,3.7,66.8,3.7,,,,,,,
,Female,525,509,398,75.8,3.2,78.2,3.1,366,69.7,3.4,71.9,3.4,,,,,,,
,White alone,980,958,730,74.5,2.4,76.1,2.4,670,68.4,2.5,69.9,2.5,,,,,,,
,.White non-Hispanic alone,952,935,715,75.1,2.4,76.4,2.4,655,68.8,2.6,70.0,2.6,,,,,,,
,Black alone,12,10,7,(B),(B),(B),(B),6,(B),(B),(B),(B),,,,,,,
,Asian alone,20,9,5,(B),(B),(B),(B),4,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),29,23,15,(B),(B),(B),(B),15,(B),(B),(B),(B),,,,,,,
,White alone or in combination,993,970,738,74.3,2.4,76.1,2.3,677,68.2,2.5,69.8,2.5,,,,,,,
,Black alone or in combination,14,11,8,(B),(B),(B),(B),7,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,23,10,6,(B),(B),(B),(B),4,(B),(B),(B),(B),,,,,,,
NEW JERSEY,Total,"6,730","5,929","4,326",64.3,1.8,73.0,1.7,"3,670",54.5,1.8,61.9,1.9,,,,,,,
,Male,"3,215","2,795","1,982",61.6,2.6,70.9,2.6,"1,676",52.1,2.7,60.0,2.8,,,,,,,
,Female,"3,514","3,134","2,344",66.7,2.4,74.8,2.3,"1,994",56.7,2.5,63.6,2.6,,,,,,,
,White alone,"5,173","4,695","3,448",66.6,2.0,73.4,1.9,"2,907",56.2,2.1,61.9,2.1,,,,,,,
,.White non-Hispanic alone,"4,145","4,030","3,037",73.3,2.1,75.3,2.0,"2,556",61.7,2.3,63.4,2.3,,,,,,,
,Black alone,907,789,586,64.7,5.8,74.3,5.7,540,59.6,5.9,68.5,6.0,,,,,,,
,Asian alone,566,373,243,43.0,7.9,65.2,9.4,179,31.7,7.4,48.1,9.8,,,,,,,
,Hispanic (of any race),"1,170",773,468,40.0,6.8,60.6,8.3,395,33.8,6.5,51.1,8.5,,,,,,,
,White alone or in combination,"5,197","4,719","3,466",66.7,2.0,73.5,1.9,"2,926",56.3,2.1,62.0,2.1,,,,,,,
,Black alone or in combination,922,804,602,65.3,5.7,74.8,5.6,549,59.6,5.9,68.3,6.0,,,,,,,
,Asian alone or in combination,577,384,250,43.3,7.8,65.0,9.3,186,32.2,7.4,48.4,9.7,,,,,,,
NEW MEXICO,Total,"1,553","1,426",978,63.0,2.5,68.6,2.5,878,56.5,2.5,61.6,2.6,,,,,,,
,Male,754,684,450,59.7,3.6,65.8,3.7,404,53.6,3.7,59.1,3.8,,,,,,,
,Female,799,742,528,66.1,3.4,71.2,3.3,474,59.3,3.5,63.9,3.6,,,,,,,
,White alone,"1,310","1,215",875,66.8,2.6,72.0,2.6,789,60.2,2.7,64.9,2.8,,,,,,,
,.White non-Hispanic alone,729,713,545,74.8,3.2,76.4,3.2,503,69.0,3.5,70.5,3.4,,,,,,,
,Black alone,43,39,24,(B),(B),(B),(B),24,(B),(B),(B),(B),,,,,,,
,Asian alone,39,12,3,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
,Hispanic (of any race),624,544,349,55.9,6.3,64.1,6.5,306,49.0,6.3,56.2,6.7,,,,,,,
,White alone or in combination,"1,318","1,223",879,66.7,2.6,71.9,2.6,793,60.2,2.7,64.9,2.7,,,,,,,
,Black alone or in combination,43,39,24,(B),(B),(B),(B),24,(B),(B),(B),(B),,,,,,,
,Asian alone or in combination,43,16,3,(B),(B),(B),(B),3,(B),(B),(B),(B),,,,,,,
NEW YORK,Total,"15,066","13,082","8,887",59.0,1.2,67.9,1.2,"7,675",50.9,1.2,58.7,1.3,,,,,,,
,Male,"7,151","6,194","4,084",57.1,1.8,65.9,1.8,"3,503",49.0,1.8,56.5,1.9,,,,,,,
,Female,"7,916","6,887","4,803",60.7,1.7,69.7,1.7,"4,172",52.7,1.7,60.6,1.8,,,,,,,
,White alone,"10,925","9,929","6,837",62.6,1.4,68.9,1.4,"5,781",52.9,1.5,58.2,1.5,,,,,,,
,.White non-Hispanic alone,"8,992","8,672","6,075",67.6,1.5,70.1,1.5,"5,152",57.3,1.6,59.4,1.6,,,,,,,
,Black alone,"2,482","2,103","1,542",62.1,3.6,73.3,3.6,"1,456",58.7,3.6,69.2,3.7,,,,,,,
,Asian alone,"1,442",848,384,26.6,4.5,45.3,6.6,333,23.1,4.3,39.2,6.5,,,,,,,
,Hispanic (of any race),"2,363","1,548",983,41.6,4.9,63.5,5.9,835,35.3,4.7,53.9,6.1,,,,,,,
,White alone or in combination,"11,077","10,074","6,920",62.5,1.4,68.7,1.4,"5,847",52.8,1.4,58.0,1.5,,,,,,,
,Black alone or in combination,"2,562","2,177","1,594",62.2,3.5,73.2,3.5,"1,503",58.7,3.6,69.0,3.7,,,,,,,
,Asian alone or in combination,"1,476",882,414,28.1,4.5,47.0,6.5,354,24.0,4.3,40.2,6.4,,,,,,,
NORTH CAROLINA,Total,"7,265","6,712","5,295",72.9,1.6,78.9,1.5,"4,624",63.7,1.7,68.9,1.7,,,,,,,
,Male,"3,439","3,125","2,401",69.8,2.3,76.8,2.3,"2,103",61.2,2.5,67.3,2.5,,,,,,,
,Female,"3,826","3,587","2,894",75.7,2.1,80.7,2.0,"2,521",65.9,2.3,70.3,2.3,,,,,,,
,White alone,"5,453","4,966","3,848",70.6,1.9,77.5,1.8,"3,276",60.1,2.0,66.0,2.0,,,,,,,
,.White non-Hispanic alone,"4,898","4,820","3,755",76.7,1.8,77.9,1.8,"3,194",65.2,2.0,66.3,2.0,,,,,,,
,Black alone,"1,529","1,501","1,279",83.7,3.4,85.3,3.3,"1,203",78.7,3.8,80.2,3.7,,,,,,,
,Asian alone,95,57,34,35.4,18.6,(B),(B),34,35.4,18.6,(B),(B),,,,,,,
,Hispanic (of any race),603,169,115,19.1,7.5,68.0,16.9,95,15.7,7.0,56.0,18.0,,,,,,,
,White alone or in combination,"5,520","5,033","3,905",70.8,1.8,77.6,1.8,"3,325",60.2,2.0,66.1,2.0,,,,,,,
